id,name,address,city,state,zip,phone,webaddress,weiss,weissrank,demotech,demotechrank,ambest,ambestrank,policycount,policycount_display,q4_2013_policycount,q1_2014_policycount,q2_2014_policycount,q3_2014_policycount,q4_2014_policycount,q1_2015_policycount,q2_2015_policycount,q3_2015_policycount,q4_2015_policycount,q1_2016_policycount,q2_2016_policycount,q3_2016_policycount,q4_2016_policycount,q1_2017_policycount,q2_2017_policycount,q3_2017_policycount,q4_2017_policycount,q1_2018_policycount,q2_2018_policycount,q3_2018_policycount,2yrpolicytotal,total_complaints_display,total_complaints,total_2013_complaintcount,total_2014_complaintcount,total_2015_complaintcount,total_2016_complaintcount,total_2017_complaintcount,total_2018_complaintcount,complaints_per_10k,complaintpercentile,complaintpercentilegroup,isincomplete,longloss,shortloss
38,Avatar Property & Casualty Insurance Co.,1101 E Cumberland Ave,Tampa,FL,33602,813-514-0333,http://www.avatarins.com,C,8,A,3,NR,33,58065,"58,065",7019,10391,10301,10684,10391,10301,18736,18977,19245,19380,19247,18712,19862,19781,65777,64077,61567,60103,58540,58065,50971.5,255,255,19,3,11,11,52,221,50,99,3,f,31.3%,36.5%
39,Southern Oak Insurance Co.,"816 A1A North, Suite 302",Ponte Vedra Beach,FL,32082,877-900-3971,http://www.southernoakins.com,B-,6,A,3,NR,33,57639,"57,639",63172,62726,61349,61164,62726,61349,58639,59890,59212,59825,58362,58138,57796,57475,57349,58280,58694,58406,58670,57639,58038.625,65,65,112,45,26,26,34,23,11.2,56,2,f,37.2%,47.6%
40,Edison Insurance Co.,P.O. Box 51329,Sarasota,FL,34232-0311,866-568-8922-,http://www.edisoninsurance.com,D+,10,A,3,NR,33,53412,"53,412",0,0,0,0,0,0,2324,4742,6400,9094,15133,22674,29790,35087,39183,42011,44280,46362,49694,53412,42477.375,61,61,0,0,0,0,39,31,14.4,66,2,f,54.3%,47.0%
41,Tower Hill Preferred Insurance Co. ,7201 N.W. 11Th Place,Gainesville,FL,32605,352-333-1362,http://www.thig.com,D,11,A,3,NR,33,49908,"49,908",72824,71246,69052,67530,71246,69052,74783,72667,70705,67824,64254,61644,60164,56666,53649,52343,51699,50583,50223,49908,53154.375,124,124,145,41,28,56,63,26,23.3,86,3,f,46.8%,38.6%
42,Capitol Preferred Insurance Co.,"2255 Killearn Center Boulevard,",Tallahassee,FL,32309,850-521-0742,http://www.capitol-preferred.com,C,8,A,3,NR,33,46964,"46,964",41991,41634,41614,41860,41634,41614,44281,44120,44040,44125,43656,43226,42918,42828,43283,43700,44685,46206,46692,46964,44659.5,75,75,0,40,33,33,40,12,16.8,73,3,f,84.0%,93.8%
43,ASI Assurance Corp.,1 Asi Way,St. Petersburg,FL,33702-2514,727-821-8765,http://www.americanstrategic.com,B,5,A'',1,A+,3,44719,"44,719",87205,84123,81186,78869,84123,81186,71221,69000,66778,64411,61665,59387,56976,54647,52718,51078,49438,47825,46101,44719,50437.75,72,72,50,26,25,24,28,27,14.3,64,2,f,39.9%,37.6%
44,Foremost Insurance Co.,P.O. Box 2450,Grand Rapids,MI,49501-2450,818-965-0433,http://www.foremost.com,B,5,NR,7,A,5,43268,"43,268",37155,36121,35582,35320,36121,35582,35388,35632,35714,35956,36993,37918,38540,39191,40449,40837,40099,40586,42352,43268,40665.25,36,36,28,13,5,5,18,16,8.9,44,2,f,,
45,Florida Farm Bureau Casualty Insurance Co.,5700 S.W. 34Th Street,Gainesville,FL,32608-5330,352-374-1555,http://www.floridafarmbureau.com,B-,6,NR,7,A,5,41422,"41,422",45330,44849,44410,43975,44849,44410,42889,42526,42313,42179,42042,41884,41800,41739,41673,41607,41587,41596,41515,41422,41617.375,22,22,30,14,8,8,9,7,5.3,25,1,f,77.2%,73.6%
46,Anchor Property And Casualty Insurance Co.,5959 Central Ave. Suite 200,St. Petersburg,FL,33710,(727) 853-6670,http://www.relyonanchor.com,D,11,A,3,NR,33,40972,"40,972",0,0,0,0,0,0,22348,22268,33801,34350,36624,36776,36700,37431,38771,40136,40178,40429,40965,40972,39447.75,68,68,0,0,5,5,48,33,17.2,74,3,f,65.7%,59.9%
47,Homesite Insurance Co.,"One Federal Street, Suite 400",Boston,MA,02110-2003,330-777-7102,http://www.homesite.com,C,8,NR,7,A,5,40631,"40,631",0,0,0,0,0,0,5353,8961,10423,12546,14795,18016,20578,22674,24997,35598,35369,36547,38824,40631,31902.25,3,3,0,0,1,1,2,1,0.9,9,1,f,,
48,Florida Farm Bureau General Insurance Co.,5700 S.W. 34Th Street,Gainesville,FL,32608-5330,352-374-1555,http://www.floridafarmbureau.com,B,5,NR,7,A,5,38968,"38,968",42790,42575,42361,42206,42575,42361,41628,41399,41168,40888,40734,40498,40324,40156,39922,39687,39508,39367,39176,38968,39638.5,24,24,26,12,12,12,15,5,6.1,28,1,f,,
49,Tower Hill Select Insurance Co.,7201 N.W. 11Th Place,Gainesville,FL,32605,352-333-1362,http://www.thig.com,C,8,A,3,NR,33,38953,"38,953",59484,62479,64847,64368,62479,64847,61437,60072,58364,55502,52881,50028,47516,45306,43383,42258,41640,40827,39966,38953,42481.125,107,107,105,82,51,50,54,24,25.2,91,3,f,74.1%,54.8%
50,Omega Insurance Co.,7201 N.W. 11Th Place,Gainesville,FL,32605,352-333-1362,http://www.thig.com,C,8,A,3,NR,33,37078,"37,078",39631,41643,43711,44494,41643,43711,49441,50234,50010,48597,47198,45920,45104,44410,44243,43738,42138,40443,38394,37078,41943.5,56,56,34,23,25,24,25,21,13.4,59,2,f,72.7%,61.9%
51,USAA General Indemnity Co.,9800 Fredericksburg Road,San Antonio,TX,78288,800-531-8111,http://www.usaa.com,B+,4,NR,7,A++,1,35000,"35,000",7483,8086,9202,10717,8086,9202,16151,18639,20458,22088,23817,25567,27009,28334,29329,31276,32628,32722,33958,35000,31282,14,14,4,4,2,2,9,2,4.5,23,1,f,83.1%,77.5%
52,National Speciality Insurance Co.,1900 L. Don Dodson Dr.,Bedford,TX,76021,817-265-2000,http://www.statenational.com,C+,7,NR,7,NR,33,34549,"34,549",0,0,0,0,0,0,0,0,0,1483,7503,5802,8855,8638,9650,12279,15188,21156,28726,34549,17380.125,6,6,0,0,0,0,3,6,3.5,22,1,f,41.6%,51.7%
53,Federal Insurance Co.,202 Hall'S Mill Road,Whitehous,NJ,08889,908-572-5343,http://www.chubb.com,B-,6,NR,7,A++,1,33436,"33,436",31598,31707,31938,31977,31707,31938,32380,32456,32653,32875,33014,33102,33309,33505,33536,33494,33564,33555,33615,33436,33501.75,5,5,4,6,0,0,4,0,1.5,11,1,f,39.5%,35.8%
54,Nationwide Insurance Co. Of Florida,"One West Nationwide Blvd., 3-04-101",Columbus,OH,43215-2220,800-882-2822,http://www.nationwide.com,B-,6,NR,7,A+,3,33171,"33,171",36931,36095,35134,34360,36095,35134,32690,32382,32042,31976,31949,32008,31886,31965,32090,32293,32194,32668,33016,33171,32410.375,21,21,63,25,13,13,11,5,6.5,32,1,f,,
55,Prepared Insurance Co.,1715 N Westshore Blvd Suite 930,Tampa,FL,33607,813-286-3733,http://www.preparedins.com,D,11,A,3,NR,33,32054,"32,054",19754,20588,21547,22488,20588,21547,31432,32935,34126,35219,34863,33611,32119,30749,28930,28674,29070,29779,31000,32054,30296.875,52,52,34,22,19,19,27,14,17.2,74,3,f,67.6%,29.3%
56,Liberty Mutual Fire Insurance Co.,175 Berkeley Street,Boston,MA,02116,617-357-9500,http://www.libertymutualgroup.com,B-,6,NR,7,A,5,31739,"31,739",41377,40272,39259,38387,40272,39259,36727,36289,35798,35541,35167,34832,34531,34155,33486,33491,32842,32335,32079,31739,33082.25,20,20,69,26,5,5,20,3,6,26,1,f,56.6%,61.7%
57,Praetorian Insurance Co.,One General Drive,Sun Prairie,WI,53596,212-805-9700-8851,http://www.qbena.com,C,8,NR,7,A,5,26055,"26,055",1989,2866,3957,7196,2866,3957,14653,19595,23123,24634,24673,25244,24578,24210,24313,24615,24254,24190,24307,26055,24565.25,16,16,0,0,1,1,15,1,6.5,32,1,f,49.8%,51.8%
58,Amica Mutual Insurance Co.,100 Amica Way,Lincoln,RI,02865-1156,800-652-6422-24145,http://www.amica.com,B+,4,NR,7,A+,3,25032,"25,032",22009,21990,21985,22118,21990,21985,22131,22216,22274,22421,22735,22980,23097,23255,23435,23793,24126,24449,24933,25032,24015,8,8,12,11,4,4,4,3,3.3,20,1,f,67.3%,68.8%
59,First Liberty Insurance Corp. (The),175 Berkeley Street,Boston,MA,02116,617-357-9500,http://www.libertymutualgroup.com,C+,7,NR,7,A,5,23843,"23,843",21240,21077,20961,21154,21077,20961,21685,22197,22443,23118,23655,24069,24216,24565,24700,25367,25058,24612,24206,23843,24570.875,22,22,13,7,2,2,16,2,9,45,2,f,,
60,Centauri Specialty Insurance Co.,"5391 Lakewood Ranch Blvd., Suite 303",Sarasota,FL,34240,941-870-0204-205,http://www.centaurispecialty.com,C,8,A,3,NR,33,21863,"21,863",0,0,0,0,0,0,1998,2959,4335,6186,8959,9838,11134,12919,15560,18096,19029,20203,21030,21863,17479.25,9,9,0,0,0,0,5,6,5.1,24,1,f,59.6%,57.9%
61,First Community Insurance Co.,11101 Roosevelt Blvd. N,St. Petersburg,FL,33716,727-823-4000-4112,http://www.bankersinsurance.com,C,8,A,3,B++,9,21455,"21,455",33084,37029,34769,33757,37029,34769,30383,29005,27483,26399,25121,24897,24473,24427,24094,23922,23471,22653,22012,21455,23313.375,29,29,24,17,9,9,17,7,12.4,57,2,f,48.4%,40.4%
62,Weston Insurance Co.,P.O.Box 14-2057,Coral Gables,FL,33114-2057,888-800-5002-1009,http://www.weston-ins.com,C,8,A,3,B,13,19547,"19,547",17070,16540,16036,15479,16540,16036,25726,24517,25942,25811,24274,23110,22369,21482,20871,20223,19577,19325,19524,19547,20364.75,21,21,3,3,2,2,15,6,10.3,50,2,f,,
63,Hartford Insurance Co. Of The Midwest,200 Hopmeadow Street,Simsbury,CT,06089-9793,800-451-6944,http://www.thehartford.com,B,5,NR,7,A+,3,17044,"17,044",32503,31481,30447,29481,31481,30447,26675,25798,24991,24310,23491,22749,22076,21394,20603,19998,19457,18625,17801,17044,19624.75,46,46,37,29,5,5,30,12,23.4,88,3,f,58.4%,58.1%
64,First American Property & Casualty Insurance Co.,4 First American Way,Santa Ana,CA,92707,714-560-7856-7826,http://www.fapcig.com,C,8,NR,7,A,5,14972,"14,972",12171,12638,13012,13664,12638,13012,13580,13674,13635,14081,14342,14941,15115,16290,15828,15826,15388,15618,16138,14972,15646.875,0,0,0,0,0,0,1,0,0,0,1,f,60.0%,65.8%
65,AIG Property Casualty Co.,"175 Water Street, 18Th Floor",New York,NY,10038,212-458-3732,http://www.aig.com,C,8,NR,7,A,5,14831,"14,831",13521,13552,13610,13764,13552,13610,14056,14177,14482,14677,14830,14867,14896,14871,14845,14894,14996,15052,14967,14831,14919,4,4,4,1,1,1,2,0,2.7,18,1,f,93.1%,
66,Garrison Property and Casualty Insurance Co.,9800 Fredericksburg Road,San Antonio,TX,78288,800-531-8111,http://www.usaa.com,B,5,NR,7,NR,33,14818,"14,818",0,0,0,0,0,0,0,0,0,0,0,96,2523,4774,6886,9650,11024,11831,13366,14818,9359,0,0,0,0,0,0,0,0,0,0,1,f,83.1%,77.5%
67,United Casualty Insurance Co. Of America,12115 Lackland Road,St. Louis,MO,63146-4003,800-777-8467,http://www.kemper.com,B,5,NR,7,NR,33,14269,"14,269",15946,15749,15864,15757,15749,15864,15640,15707,15478,15347,15469,15314,15163,15121,15080,15285,14763,14392,14424,14269,14812.125,20,20,4,2,2,2,6,11,13.5,60,2,f,,
68,First Floridian Auto And Home Insurance Co.,"1101 Corridor Park Blvd, 0365-Tn01P1",Knoxville,TN,37932,865-777-6366,http://www.travelersfl.com,B,5,NR,7,A-,7,13794,"13,794",18390,18048,17674,17343,18048,17674,16699,16584,16476,16400,16066,15721,15449,15180,14849,14543,14277,14030,13825,13794,14493.375,26,26,14,13,14,14,11,5,17.9,77,3,f,61.3%,82.7%
69,American Coastal Insurance Co.,1300 Sawgrass Corporate Parkway Suite 144,Sunrise,FL,33323,954-889-3384-,http://www.amcoastal.com,NR,16,A',2,NR,33,13388,"13,388",4105,4169,4225,4294,4169,4225,4591,4653,4631,4629,4496,4469,4363,4366,4487,4541,4812,4873,5019,13388,5731.125,1,1,0,0,2,2,1,0,1.7,14,1,f,,
70,Privilege Underwriters Reciprocal Exchange,44 South Broadway,White Plains,NY,10601-1743,(914) 328-7388,http://www.pureinsurance.com,B-,6,NR,7,A,5,13311,"13,311",5292,5543,5809,6005,5543,5809,7074,7336,7708,7697,8156,8413,8771,9316,9729,10135,10476,11009,12514,13311,10657.625,1,1,0,0,1,1,0,0,0.9,9,1,f,51.4%,47.1%
71,Foremost Property And Casualty Insurance Co.,P.O. Box 2450,Grand Rapids,MI,49501-2450,818-965-0433,http://www.foremost.com,C+,7,NR,7,A,5,12533,"12,533",21626,21457,20878,20438,21457,20878,18367,17985,17491,16812,16288,15927,15504,14913,14466,14182,13807,13249,12839,12533,13936.625,12,12,10,4,3,3,3,6,8.6,42,2,f,,
