Company,Group Name,Address,City,Domicile State,Zip,Phone,President,Web Address,Commenced Operations,Weiss Financial Strength Rating *,2013 Florida Homeowners Direct Premiums Written               $,2013 Florida Homeowners Direct Losses    Incurred                               $,"Total Assets as of June 30, 2014             $","Total Liabilities  as of June 30, 2014       $",2013 Marketshare                         %,Net Income            2013                       $,Net Income            June 2014        $,Capital and Surplus          2013,Capital and Surplus              June 2014,2012 Reserves,2013 Reserves,2012 to 2013 change in reserves                   $,2012 to 2013 change %,June 2014 Reserves,2013 to 2014 change in reserves                   $,2013 to 2014 change %,2012 to 2014 change in reserves                   $,2012 to 2014 change %
SECURITY FIRST INSURANCE COMPANY,SECURITY FIRST INSURANCE HOLDINGS LLC,140 SOUTH ATLANTIC AVENUE  SUITE 200,ORMOND BEACH,FL,32176,(386) 673-5308,WALLACE LOCKWOOD BURT,http://securityfirstflorida.com,25-May-05,C,"184,487,897","39,968,046","160,095,249","112,220,465",2.12,"5,378,387","3,293,585","44,777,357","47,874,784","9,708,518","12,232,070","2,523,552",25.99,"12,072,655","-159,415",-1.3,"2,364,137",24.35
TOWER HILL PRIME INSURANCE COMPANY,TOWER HILL GROUP,P.O. BOX 147018,GAINESVILLE,FL,32614-7018,(352) 332-8800,DONALD CARL MATZ JR,https://www.thig.com,1-Apr-00,D,"179,732,931","52,238,308","159,629,087","107,719,748",2.06,"1,494,255","10,128,517","43,773,480","51,909,339","15,000,071","15,339,633","339,562",2.26,"12,078,100","-3,261,533",-21.26,"-2,921,971",-19.48
FEDERAL INSURANCE COMPANY,CHUBB CORP,15 MOUNTAIN VIEW RD,WARREN,NJ,07061-1615,(908) 903-2000,PAUL JOSEPH KRUMP,http://www.chubb.com,2-Mar-01,B+,"162,155,667","37,098,378","32,182,245,723","17,327,776,086",1.86,"2,021,923,317","813,485,940","14,741,311,916","14,854,469,637","9,598,944,294","9,083,788,735","-515,155,559",-5.37,"9,209,245,700","125,456,965",1.38,"-389,698,594",-4.06
USAA CASUALTY INSURANCE COMPANY,USAA GROUP,9800 FREDERICKSBURG RD,SAN ANTONIO,TX,78288,(210) 498-8000,ALAN WAYNE KRAPF,https://www.usaa.com,31-Dec-90,A+,"147,191,648","30,450,826","8,466,274,523","4,063,787,843",1.69,"319,886,625","185,225,871","4,168,775,814","4,402,486,679","1,869,956,130","1,892,343,575","22,387,445",1.2,"1,823,588,995","-68,754,580",-3.63,"-46,367,135",-2.48
AMERICAN INTEGRITY INSURANCE COMPANY OF FLORIDA,,"7650 W. COURTNEY CAMPBELL PKWY, SUITE 12",TAMPA,FL,33607,(813) 880-7000,ROBERT CRAIG RITCHIE,http://www.aiicfl.com,13-Sep-06,D,"141,915,923","24,523,951","185,730,931","139,191,814",1.63,"11,757,994","5,553,410","41,068,891","46,539,117","15,546,268","16,854,712","1,308,444",8.42,"17,428,078","573,366",3.4,"1,881,810",12.1
CASTLE KEY INSURANCE COMPANY,ALLSTATE INSURANCE GROUP,"3075 SANDERS ROAD, SUITE H1A",NORTHBROOK,IL,60062-7127,(727) 573-6800,MICHAEL SCOTT SHEELY,http://www.allstate.com,15-Nov-88,B-,"134,209,691","32,680,296","357,338,317","174,812,808",1.54,"24,366,994","18,557,759","165,687,568","182,525,509","51,505,227","45,640,620","-5,864,607",-11.39,"42,093,812","-3,546,808",-7.77,"-9,411,415",-18.27
TOWER HILL PREFERRED INSURANCE COMPANY,TOWER HILL GROUP,P.O. BOX 147018,GAINESVILLE,FL,32614-7018,(352) 332-8800,DONALD CARL MATZ JR,https://www.thig.com,1-Jan-87,D,"132,209,409","34,895,330","114,725,536","70,220,796",1.52,"3,705,479","6,532,669","39,225,397","44,504,740","10,534,285","10,839,058","304,773",2.89,"7,935,017","-2,904,041",-26.79,"-2,599,268",-24.67
TOWER HILL SELECT INSURANCE COMPANY,TOWER HILL GROUP,P.O. BOX 147018,GAINESVILLE,FL,32614-7018,(352) 332-8800,DONALD CARL MATZ JR,https://www.thig.com,24-Jun-04,D+,"121,368,000","32,892,421","90,886,578","59,224,032",1.39,"3,434,043","262,231","31,397,016","31,662,546","8,658,794","9,073,451","414,657",4.79,"7,275,656","-1,797,795",-19.81,"-1,383,138",-15.97
AIG PROPERTY CASUALTY COMPANY,AMERICAN INTL GROUP,175 WATER ST 18TH FLOOR,NEW YORK,NY,10038,(212) 770-7000,ROBERT SCOTT HIGGINS SCHIMEK,http://www.aig.com,1-Aug-71,C+,"121,279,021","31,847,927","4,638,975,267","3,325,174,916",1.39,"124,570,068","111,816,973","1,166,328,318","1,313,800,352","1,354,183,909","1,391,707,954","37,524,045",2.77,"1,876,271,278","484,563,324",34.82,"522,087,369",38.55
HERITAGE PROPERTY AND CASUALTY INSURANCE COMPANY,HERITAGE INSURANCE HOLDINGS LLC,700 CENTRAL AVENUE SUITE 330,SAINT PETERSBURG,FL,33701-3600,(727) 362-7200,RICHARD ALEXANDER WIDDICOMBE,http://www.heritagepci.com,2-Aug-12,C,"120,622,904","12,339,086","323,703,333","202,384,708",1.38,"20,989,788","1,963,231","63,054,969","121,318,625","1,035,136","14,793,691","13,758,555","1,329.15","28,563,236","13,769,545",93.08,"27,528,100","2,659.37"
ASI PREFERRED INSURANCE CORP,ARX HOLDING CORP GROUP,PO BOX 33018,ST. PETERSBURG,FL,33733-8018,(727) 821-8765,JOHN FRANKLIN AUER,http://www.americanstrategic.com,15-Mar-08,C,"120,616,740","27,300,871","58,557,426","37,624,260",1.38,"3,973,799","471,377","20,263,186","20,933,166","5,101,016","4,745,633","-355,383",-6.97,"4,689,471","-56,162",-1.18,"-411,545",-8.07
TOWER HILL SIGNATURE INSURANCE COMPANY,TOWER HILL GROUP,P.O. BOX 147018,GAINESVILLE,FL,32614-7018,(800) 509-1592,DONALD CARL MATZ JR,https://www.thig.com,1-Apr-06,D,"119,226,028","25,939,266","132,317,009","83,392,616",1.37,"5,475,957","10,253,512","42,226,676","48,924,393","18,200,578","13,703,993","-4,496,585",-24.71,"10,949,859","-2,754,134",-20.1,"-7,250,719",-39.84
FIRST PROTECTIVE INSURANCE COMPANY,PWC FINANCIAL INC,7131 BUSINESS PARK LN #300,LAKE MARY,FL,32746-5615,(407) 444-5224,LEMAN MILES PORTER,http://www.frontlineinsurance.com,30-Apr-98,D+,"106,099,244","24,746,511","93,554,561","64,995,813",1.22,"1,420,186","1,580,679","26,948,415","28,558,748","7,556,434","8,305,194","748,760",9.91,"8,318,019","12,825",0.15,"761,585",10.08
OLYMPUS INSURANCE COMPANY,,7380 W SAND LAKE RD SUITE 115,ORLANDO,FL,32819-5250,(321) 558-3954,JEFFREY BERNARD SCOTT,http://www.olympusinsurance.com,8-Aug-07,D+,"96,100,405","29,875,240","67,211,725","43,730,455",1.1,"2,805,526","1,775,361","21,540,962","23,481,270","3,424,655","4,888,135","1,463,480",42.73,"5,648,359","760,224",15.55,"2,223,704",64.93
FLORIDA FAMILY INSURANCE COMPANY,BARRINGTON CAPITAL LLC,PO BOX 136001,BONITA SPRINGS,FL,34136-6001,(239) 495-4700,PETER JOSEPH CORRIGAN,http://www.floridafamily.com,1-May-96,C,"95,073,232","26,170,862","105,445,056","52,826,548",1.09,"4,849,890","1,588,540","50,730,156","52,618,509","4,476,144","5,151,783","675,639",15.09,"5,384,765","232,982",4.52,"908,621",20.3
GULFSTREAM PROPERTY AND CASUALTY INSURANCE COMPANY,NEW HOLDINGS INC,6964 PROFESSIONAL PKWY EAST,SARASOTA,FL,34240,(941) 388-0905,KERRY WAYNE FORD,http://www.gspcic.com,18-Jan-05,C,"94,934,776","16,397,463","112,483,669","80,758,513",1.09,"3,724,093","3,640,751","29,484,075","31,725,156","10,442,791","10,748,879","306,088",2.93,"12,514,481","1,765,602",16.43,"2,071,690",19.84
AUTO CLUB INSURANCE COMPANY OF FLORIDA,AUTO CLUB ENTERPRISES INSURANCE GROUP,"14055 RIVEREDGE DRIVE, SUITE 500",TAMPA,FL,33637,(888) 929-4222,JAMES CRAIG SANTO,https://www.autoclubfl.com,11-Dec-07,C,"93,825,069","19,079,812","304,093,510","181,288,787",1.08,"12,333,030","7,328,461","114,270,131","122,804,723","39,552,140","55,837,973","16,285,833",41.18,"61,071,032","5,233,059",9.37,"21,518,892",54.41
CASTLE KEY INDEMNITY COMPANY,ALLSTATE INSURANCE GROUP,"3075 SANDERS ROAD, SUITE H1A",NORTHBROOK,IL,60062-7127,(727) 573-6800,MICHAEL SCOTT SHEELY,http://www.allstate.com,1-Oct-97,B,"92,659,621","19,138,456","6,578,735","1,187,417",1.06,"141,824","60,499","5,805,985","5,391,318",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
ARK ROYAL INSURANCE COMPANY,,805 EXECUTIVE CENTER DRI W #300,ST PETERSBURG,FL,33702,(888) 746-4275,DENNIS G RUPPEL,http://www.arkroyalins.com,17-Mar-08,C-,"88,715,860","21,174,865","95,694,587","65,778,673",1.02,"4,522,218","3,338,221","25,075,211","29,915,914","6,124,481","9,160,632","3,036,151",49.57,"10,677,034","1,516,402",16.55,"4,552,553",74.33
FIDELITY FIRE AND CASUALTY COMPANY,FIDELITY INSURANCE HOLDINGS INC,P.O. BOX 958405,LAKE MARY,FL,32795-8405,(407) 444-5224,LEMAN MILES PORTER,http://www.frontlineinsurance.com,26-May-05,C-,"87,034,853","19,869,048","85,460,244","61,502,689",1,"1,580,175","1,131,607","22,801,075","23,957,554","5,623,489","7,121,932","1,498,443",26.65,"6,724,085","-397,847",-5.59,"1,100,596",19.57
FLORIDA FARM BU CASUALTY INSURANCE COMPANY,SOUTHERN FARM BUREAU CASUALTY,POST OFFICE BOX 147030,GAINESVILLE,FL,32614-7030,(352) 378-8100,STEVEN CLAY MURRAY,http://www.floridafarmbureau.com,1-Jul-74,B-,"80,514,547","19,613,882","522,904,915","266,885,880",0.92,"19,934,177","10,927,497","246,269,878","256,019,035","82,329,667","89,309,115","6,979,448",8.48,"89,316,284","7,169",0.01,"6,986,617",8.49
CYPRESS PROPERTY AND CASUALTY INSURANCE COMPANY,ONEX CORP,"13901 SUTTON PARK DRIVE SOUTH, SUITE 310",JACKSONVILLE,FL,32224,(904) 992-4492,GARY RAYMOND WOTHE,http://www.cypressig.com,27-Dec-98,C-,"79,606,958","18,093,437","100,486,788","69,492,232",0.91,"796,718","-271,357","31,106,376","30,994,558","17,337,658","15,630,975","-1,706,683",-9.84,"14,999,078","-631,897",-4.04,"-2,338,580",-13.49
SOUTHERN OAK INSURANCE COMPANY,,200 W FORSYTH ST SUITE 1200,JACKSONVILLE,FL,32202,(904) 353-4000,TONY ALEXANDER LOUGHMAN,http://www.southernoakins.com,30-Nov-04,D+,"78,483,218","14,101,654","115,246,588","79,654,819",0.9,"4,354,987","4,432,350","31,227,973","35,591,769","14,620,993","16,577,173","1,956,180",13.38,"17,847,634","1,270,461",7.66,"3,226,641",22.07
UNIVERSAL INSURANCE COMPANY OF NORTH AMERICA,UNIVERSAL INSURANCE COMPANY GROUP,101 ARTHUR ANDERSEN PKWY STE 220,SARASOTA,FL,34232-6305,(941) 378-8851,MIGUEL ANGEL BARRALES,http://www.uihna.com,23-Apr-04,C-,"77,466,568","19,607,105","126,189,917","87,494,708",0.89,"6,557,622","-945,875","38,379,867","38,695,209","33,871,179","30,093,396","-3,777,783",-11.15,"29,042,124","-1,051,272",-3.49,"-4,829,055",-14.26
SOUTHERN FIDELITY INSURANCE COMPANY INC,SOUTHERN FIDELITY HOLDING LLC,2255 KILLEARN CENTER BOULEVARD,TALLAHASSEE,FL,32309,(850) 521-3080,JAMES ANTHONY GRAGANELLA,http://www.southernfidelityins.com,7-Apr-05,C+,"76,367,749","15,785,579","202,873,523","125,761,254",0.88,"9,237,447","5,227,635","72,105,801","77,112,269","23,568,160","17,322,294","-6,245,866",-26.5,"19,291,603","1,969,309",11.37,"-4,276,557",-18.15
LIBERTY MUTUAL FIRE INSURANCE COMPANY,LIBERTY MUTUAL GROUP,"175 BERKELEY ST, MAILSTOP 3E",BOSTON,MA,02117-0000,(617) 357-9500,DAVID HENRY LONG,http://www.LibertyMutualGroup.com,5-Nov-08,C+,"67,296,151","23,786,683","5,427,403,763","4,211,858,811",0.77,"87,506,828","3,804,200","1,216,296,019","1,215,544,952","2,472,362,373","2,279,464,676","-192,897,697",-7.8,"2,219,690,450","-59,774,226",-2.62,"-252,671,923",-10.22
AMERICAN STRATEGIC INSURANCE COMPANY,ARX HOLDING CORP GROUP,805 EXECUTIVE CIR DR W #300,ST PETERSBURG,FL,33702,(727) 821-8765,JOHN FRANKLIN AUER,http://www.americanstrategic.com,18-Dec-97,C+,"64,109,107","11,900,932","778,736,575","477,102,376",0.74,"30,093,073","-3,566,235","307,441,750","301,634,199","106,936,292","113,718,124","6,781,832",6.34,"149,054,944","35,336,820",31.07,"42,118,652",39.39
SOUTHERN FIDELITY PROPERTY AND CASUALTY INC,SFPC HOLDING COMPANY LLC,2255 KILLEARN CENTER BOULEVARD,TALLAHASSEE,FL,32309-3562,(850) 521-3080,JAMES ANTHONY GRAGANELLA,,12-Jan-12,C+,"61,479,976","13,646,133","103,941,377","77,389,990",0.71,"1,707,743","3,264,461","24,418,402","26,551,387","7,168,743","11,117,605","3,948,862",55.08,"13,543,772","2,426,167",21.82,"6,375,029",88.93
ASI ASR CORP,ARX HOLDING CORP GROUP,805 EXECUTIVE CIR DR W #300,ST PETERSBURG,FL,33702,(727) 821-8765,JOHN FRANKLIN AUER,http://www.americanstrategic.com,21-Oct-04,C+,"61,198,534","12,652,443","151,437,925","89,326,437",0.7,"11,254,571","7,042,912","55,638,212","62,111,488","23,527,216","25,592,536","2,065,320",8.78,"27,176,631","1,584,095",6.19,"3,649,415",15.51
HARTFORD INSURANCE COMPANY OF THE MIDWEST,HARTFORD FINANCIAL SERVICES INC,HARTFORD PLAZA,HARTFORD,CT,6115,(860) 547-5000,DOUGLAS GRAHAM ELLIOT,http://www.thehartford.com,1-Jan-80,B,"57,494,737","19,209,551","561,845,491","120,018,342",0.66,"19,150,837","10,062,818","432,102,002","441,827,149","73,310,106","73,617,623","307,517",0.42,"75,276,661","1,659,038",2.25,"1,966,555",2.68
GEOVERA SPECIALTY INSURANCE COMPANY,GEOVERA HOLDINGS GROUP,"4820 BUSINESS CENTER DRIVE, SUITE 200",FAIRFIELD,CA,94534-1900,(800) 785-2658,KEVIN MALCOLM NISH,http://www.mygeosource.com/GVSIC,30-Nov-94,C,"57,111,160","9,435,538","102,003,138","80,923,431",0.66,"4,168,905","2,021,572","22,306,560","21,079,707","1,615,196","1,677,680","62,484",3.87,"1,660,121","-17,559",-1.05,"44,925",2.78
FLORIDA FARM BUREAU GENERAL INSURANCE COMPANY,SOUTHERN FARM BUREAU CASUALTY,POST OFFICE BOX 147030,GAINESVILLE,FL,32614-7030,(352) 378-8100,STEVEN CLAY MURRAY,http://www.floridafarmbureau.com,1-Apr-93,B,"56,301,425","13,309,507","9,429,964","38,892",0.65,"183,040","140,786","9,250,286","9,391,072",0,0,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!
OMEGA INSURANCE COMPANY,TOWER HILL GROUP,P.O. BOX 147018,GAINESVILLE,FL,32614-7018,(352) 332-8800,DONALD CARL MATZ JR,https://www.thig.com,1-Jul-79,D,"55,163,719","15,295,229","42,820,211","27,838,408",0.63,"-941,359","1,584,906","13,553,146","14,981,803","2,907,267","2,422,786","-484,481",-16.66,"1,979,512","-443,274",-18.3,"-927,755",-31.91
PRIVILEGE UNDERWRITERS RECIP EXCH,PURE COMPANIES GROUP,ONE N LEXINGTON AVE SUITE 1450,WHITE PLAINS,NY,10601-1743,(914) 328-7388,ROSS J BUCHMUELLER,http://www.pureinsurance.com,29-Jan-07,B-,"49,518,848","6,655,561","240,635,188","172,670,783",0.57,"-9,364,827","-2,500,076","60,081,415","67,964,405","10,190,226","13,627,614","3,437,388",33.73,"14,081,069","453,455",3.33,"3,890,843",38.18
NATIONWIDE INSURANCE COMPANY OF FLORIDA,NATIONWIDE CORP,ONE NATIONWIDE PLAZA,COLUMBUS,OH,43215-2220,(614) 249-7111,JAMES ERNEST LARSEN,http://www.nationwide.com,18-Aug-98,C+,"48,239,146","15,406,524","334,932,030","53,829,273",0.55,"12,437,924","6,676,733","272,910,661","281,102,757","31,565,629","19,375,990","-12,189,639",-38.62,"16,349,967","-3,026,023",-15.62,"-15,215,662",-48.2
AMERICAN TRADITIONS INSURANCE COMPANY,JERGER HOLDING CORP,7785 66TH STREET,PINELLAS PARK,FL,33781,(727) 561-0013,THOMAS JOHN JERGER JR,http://www.jergermga.com,1-Jan-06,C-,"47,214,354","7,687,300","48,090,680","30,607,022",0.54,"3,265,415","1,291,157","15,981,734","17,483,658","4,144,955","3,971,278","-173,677",-4.19,"4,272,745","301,467",7.59,"127,790",3.08
SAFE HARBOR INSURANCE COMPANY,RM OCEAN HARBOR HOLDING INC,2549 BARRINGTON CIRCLE,TALLAHASSEE,FL,32308,(850) 386-1115,WILLIAM EMERSON ROCHE,,1-Jun-06,C-,"46,237,993","10,625,515","61,566,310","41,760,298",0.53,"3,521,404","3,012,265","16,378,421","19,806,012","5,123,557","6,102,507","978,950",19.11,"7,745,099","1,642,592",26.92,"2,621,542",51.17
LEXINGTON INSURANCE COMPANY,AMERICAN INTL GROUP,100 SUMMER STREET,BOSTON,MA,2110,(617) 330-1100,JEREMY DAVID JOHNSON,http://www.lexingtoninsurance.com,1-Apr-65,C+,"44,842,641","13,275,265","26,837,955,728","19,602,084,495",0.51,"1,660,162,001","571,899,827","7,224,131,360","7,235,871,233","10,443,361,068","9,140,350,587","-1,303,010,481",-12.48,"11,261,363,894","2,121,013,307",23.2,"818,002,826",7.83
FOREMOST INSURANCE COMPANY,FARMERS INSURANCE GROUP OF COMPANIES,P.O. BOX 2450,GRAND RAPIDS,MI,49501-2450,(616) 942-3000,STEPHEN JOHN BOSHOVEN,http://www.foremost.com,12-Jun-52,B,"44,059,262","7,096,737","2,150,725,825","1,106,405,881",0.51,"38,478,162","13,400,829","1,029,924,695","1,044,319,943","43,919,088","22,773,283","-21,145,805",-48.15,"16,320,296","-6,452,987",-28.34,"-27,598,792",-62.84
PREPARED INSURANCE COMPANY,PREPARED HOLDINGS LLC,1715 N WESTSHORE BLVD STE 930,TAMPA,FL,33607,(813) 286-3730,ERIC LEE GOBBLE,http://preparedins.com,18-Sep-09,C-,"41,204,825","7,212,880","54,189,220","38,470,607",0.47,"567,698","224,707","15,779,545","15,718,613","4,909,514","5,586,153","676,639",13.78,"6,287,877","701,724",12.56,"1,378,363",28.08
SAWGRASS MUTUAL INSURANCE COMPANY,,351 SW 136 AVE SUITE 205,DAVIE,FL,33325-3153,(954) 376-6880,JAMES A ESSE,http://www.sawgrassmutual.com,7-Apr-09,D,"39,725,298","10,037,607","29,381,733","18,007,833",0.46,"1,159,468","-55,770","11,408,632","11,373,900","2,398,795","2,250,485","-148,310",-6.18,"2,272,482","21,997",0.98,"-126,313",-5.27
AMICA MUTUAL INSURANCE COMPANY,AMICA MUTUAL GROUP,P.O. BOX 6008,PROVIDENCE,RI,02940-6008,(800) 652-6422,ROBERT ANTHONY DIMUCCIO,https://www.amica.com,1-Apr-07,B+,"38,717,603","15,348,609","4,991,404,401","2,259,040,539",0.44,"145,156,560","73,678,949","2,649,700,527","2,732,363,862","871,541,202","912,887,920","41,346,718",4.74,"934,950,366","22,062,446",2.42,"63,409,164",7.28
MODERN USA INSURANCE COMPANY,JERGER INSURANCE HOLDINGS COMPANY,7785 66TH STREET,PINELLAS PARK,FL,33781,(727) 561-0013,THOMAS JOHN JERGER JR,http://www.jergermga.com,31-May-07,C,"36,705,569","4,055,345","41,317,383","26,822,743",0.42,"3,373,538","215,087","14,023,934","14,494,640","4,223,356","2,909,099","-1,314,257",-31.12,"3,093,107","184,008",6.33,"-1,130,249",-26.76
FIREMANS FUND INSURANCE COMPANY,ALLIANZ INSURANCE GROUP,777 SAN MARIN DRIVE,NOVATO,CA,94998,(415) 899-2000,DAVID ANDREW TORRANCE,https://www.firemansfund.com,23-Sep-64,C,"33,651,572","8,608,467","9,754,696,586","7,445,904,757",0.39,"237,388,063","-141,724,792","2,478,652,440","2,308,791,829","6,150,524,024","5,119,800,837","-1,030,723,187",-16.76,"5,158,637,549","38,836,712",0.76,"-991,886,475",-16.13
FIRST COMMUNITY INSURANCE COMPANY,BANKERS INSURANCE GROUP,P.O. BOX 15707,ST. PETERSBURG,FL,33733,(727) 823-4000,WILBUR LINCOLN MARTIN IV,http://www.bankersinsurance.com,18-Nov-93,D+,"32,936,425","6,938,349","136,447,531","99,177,285",0.38,"2,062,260","14,771,688","22,779,158","37,270,245","8,246,485","11,274,652","3,028,167",36.72,"13,211,991","1,937,339",17.18,"4,965,506",60.21
IRONSHORE SPECIALTY INSURANCE COMPANY,IRONSHORE HOLDINGS INC,ONE STATE STREET PLAZA,NEW YORK,NY,10004,(646) 826-6600,SHAUN EVERETT KELLY,http://www.ironshore.com,25-Feb-53,C,"31,624,415","4,591,001","900,778,422","583,133,897",0.36,"21,416,952","19,735,964","300,336,629","317,644,525","116,569,304","140,484,287","23,914,983",20.52,"158,170,337","17,686,050",12.59,"41,601,033",35.69
SAFEWAY PROPERTY INSURANCE COMPANY,SAFEWAY INSURANCE GROUP,132 NW 76TH DRIVE,GAINESVILLE,FL,32607,(352) 333-0160,ROBERT MALCOLM BORDEMAN,https://www.safewayinsurance.com,17-Jul-87,C,"31,288,545","6,166,390","51,886,000","22,505,411",0.36,"1,808,914","1,099,245","28,062,131","29,380,589","1,853,759","1,908,240","54,481",2.94,"2,112,540","204,300",10.71,"258,781",13.96
AMERICAN BANKERS INSURANCE COMPANY OF FLORIDA,ASSURANT INC,11222 QUAIL ROOST DRIVE,MIAMI,FL,33157,(305) 253-2244,GENE EDWARD MERGELMEYER,http://www.assurant.com,29-Oct-47,B,"30,753,177","7,357,287","1,970,295,924","1,400,117,964",0.35,"96,509,610","65,396,817","542,116,674","570,177,960","132,300,684","138,084,002","5,783,318",4.37,"152,503,871","14,419,869",10.44,"20,203,187",15.27
CAPITOL PREFERRED INSURANCE COMPANY,PREFERRED HOLDING COMPANY INC,"2255 KILLEARN CENTER BOULEVARD,",TALLAHASSEE,FL,32309,(850) 521-0742,JAMES ANTHONY GRAGANELLA,http://www.capitol-preferred.com,9-Apr-98,D,"30,352,525","10,167,129","44,597,026","22,794,839",0.35,"2,493,794","2,030,234","19,631,245","21,802,187","5,751,696","4,882,678","-869,018",-15.11,"4,527,618","-355,060",-7.27,"-1,224,078",-21.28
